rid,node,behavior,code,lat_us,reply
3,0,0,0,25815,"rid:3:immediate"
6,0,0,0,25814,"rid:6:immediate"
7,0,0,0,25812,"rid:7:immediate"
8,0,0,0,25809,"rid:8:immediate"
1,0,1,0,25899,"rid:1:delayed"
10,0,0,0,25803,"rid:10:immediate"
16,0,0,0,25771,"rid:16:immediate"
18,0,0,0,25762,"rid:18:immediate"
23,0,0,0,25739,"rid:23:immediate"
26,0,0,0,25726,"rid:26:immediate"
27,0,0,0,25715,"rid:27:immediate"
29,0,0,0,25707,"rid:29:immediate"
30,0,0,0,25703,"rid:30:immediate"
32,0,0,0,25692,"rid:32:immediate"
34,0,0,0,25681,"rid:34:immediate"
35,0,0,0,25674,"rid:35:immediate"
39,0,0,0,25650,"rid:39:immediate"
41,0,0,0,25642,"rid:41:immediate"
42,0,0,0,25638,"rid:42:immediate"
45,0,0,0,25589,"rid:45:immediate"
13,0,1,0,25803,"rid:13:delayed"
49,0,0,0,25533,"rid:49:immediate"
51,0,0,0,25524,"rid:51:immediate"
54,0,0,0,25509,"rid:54:immediate"
59,0,0,0,25486,"rid:59:immediate"
61,0,0,0,25479,"rid:61:immediate"
64,0,0,0,25465,"rid:64:immediate"
68,0,0,0,25441,"rid:68:immediate"
69,0,0,0,25438,"rid:69:immediate"
71,0,0,0,25415,"rid:71:immediate"
77,0,0,0,25358,"rid:77:immediate"
78,0,0,0,25351,"rid:78:immediate"
79,0,0,0,25347,"rid:79:immediate"
81,0,0,0,25318,"rid:81:immediate"
82,0,0,0,25312,"rid:82:immediate"
83,0,0,0,25308,"rid:83:immediate"
84,0,0,0,25304,"rid:84:immediate"
86,0,0,0,25295,"rid:86:immediate"
87,0,0,0,25291,"rid:87:immediate"
89,0,0,0,25282,"rid:89:immediate"
91,0,0,0,25273,"rid:91:immediate"
93,0,0,0,25265,"rid:93:immediate"
97,0,0,0,25248,"rid:97:immediate"
98,0,0,0,25241,"rid:98:immediate"
100,0,0,0,25232,"rid:100:immediate"
102,0,0,0,25220,"rid:102:immediate"
104,0,0,0,25207,"rid:104:immediate"
106,0,0,0,25194,"rid:106:immediate"
107,0,0,0,25191,"rid:107:immediate"
108,0,0,0,25187,"rid:108:immediate"
112,0,0,0,25158,"rid:112:immediate"
113,0,0,0,25116,"rid:113:immediate"
9,0,1,0,25844,"rid:9:delayed"
115,0,0,0,25107,"rid:115:immediate"
118,0,0,0,25093,"rid:118:immediate"
122,0,0,0,25076,"rid:122:immediate"
123,0,0,0,25071,"rid:123:immediate"
125,0,0,0,25064,"rid:125:immediate"
131,0,0,0,25039,"rid:131:immediate"
132,0,0,0,25034,"rid:132:immediate"
138,0,0,0,25010,"rid:138:immediate"
139,0,0,0,25006,"rid:139:immediate"
140,0,0,0,25002,"rid:140:immediate"
141,0,0,0,24999,"rid:141:immediate"
143,0,0,0,24983,"rid:143:immediate"
146,0,0,0,24976,"rid:146:immediate"
149,0,0,0,24959,"rid:149:immediate"
153,0,0,0,24942,"rid:153:immediate"
157,0,0,0,24924,"rid:157:immediate"
158,0,0,0,24921,"rid:158:immediate"
159,0,0,0,24916,"rid:159:immediate"
161,0,0,0,24895,"rid:161:immediate"
162,0,0,0,24875,"rid:162:immediate"
164,0,0,0,24859,"rid:164:immediate"
165,0,0,0,24855,"rid:165:immediate"
168,0,0,0,24843,"rid:168:immediate"
169,0,0,0,24839,"rid:169:immediate"
180,0,0,0,24781,"rid:180:immediate"
